"DATE","TIME PERIOD","HICP Inflation rate - Total - Annual rate of change (HICP.M.U2.N.000000.4D0.ANR)"
"2018-04-30","2018Apr","1.2"
"2018-05-31","2018May","2.0"
"2018-06-30","2018Jun","2.0"
"2018-07-31","2018Jul","2.2"
"2018-08-31","2018Aug","2.1"
"2018-09-30","2018Sep","2.1"
"2018-10-31","2018Oct","2.3"
"2018-11-30","2018Nov","1.9"
"2018-12-31","2018Dec","1.5"
"2019-01-31","2019Jan","1.4"
"2019-02-28","2019Feb","1.5"
"2019-03-31","2019Mar","1.4"
"2019-04-30","2019Apr","1.7"
"2019-05-31","2019May","1.2"
"2019-06-30","2019Jun","1.3"
"2019-07-31","2019Jul","1.0"
"2019-08-31","2019Aug","1.0"
"2019-09-30","2019Sep","0.8"
"2019-10-31","2019Oct","0.7"
"2019-11-30","2019Nov","1.0"
"2019-12-31","2019Dec","1.3"
"2020-01-31","2020Jan","1.4"
"2020-02-29","2020Feb","1.2"
"2020-03-31","2020Mar","0.7"
"2020-04-30","2020Apr","0.3"
"2020-05-31","2020May","0.1"
"2020-06-30","2020Jun","0.3"
"2020-07-31","2020Jul","0.4"
"2020-08-31","2020Aug","-0.2"
"2020-09-30","2020Sep","-0.3"
"2020-10-31","2020Oct","-0.3"
"2020-11-30","2020Nov","-0.3"
"2020-12-31","2020Dec","-0.3"
"2021-01-31","2021Jan","0.9"
"2021-02-28","2021Feb","0.9"
"2021-03-31","2021Mar","1.3"
"2021-04-30","2021Apr","1.6"
"2021-05-31","2021May","2.0"
"2021-06-30","2021Jun","1.9"
"2021-07-31","2021Jul","2.2"
"2021-08-31","2021Aug","3.0"
"2021-09-30","2021Sep","3.4"
"2021-10-31","2021Oct","4.1"
"2021-11-30","2021Nov","4.9"
"2021-12-31","2021Dec","5.0"
"2022-01-31","2022Jan","5.1"
"2022-02-28","2022Feb","5.9"
"2022-03-31","2022Mar","7.4"
"2022-04-30","2022Apr","7.5"
"2022-05-31","2022May","8.1"
"2022-06-30","2022Jun","8.6"
"2022-07-31","2022Jul","8.9"
"2022-08-31","2022Aug","9.1"
"2022-09-30","2022Sep","9.9"
"2022-10-31","2022Oct","10.6"
"2022-11-30","2022Nov","10.1"
"2022-12-31","2022Dec","9.2"
"2023-01-31","2023Jan","8.6"
"2023-02-28","2023Feb","8.5"
"2023-03-31","2023Mar","6.9"
"2023-04-30","2023Apr","6.9"
"2023-05-31","2023May","6.1"
"2023-06-30","2023Jun","5.5"
"2023-07-31","2023Jul","5.3"
"2023-08-31","2023Aug","5.2"
"2023-09-30","2023Sep","4.3"
"2023-10-31","2023Oct","2.9"
"2023-11-30","2023Nov","2.4"
"2023-12-31","2023Dec","2.9"
"2024-01-31","2024Jan","2.8"
"2024-02-29","2024Feb","2.6"
"2024-03-31","2024Mar","2.4"
"2024-04-30","2024Apr","2.4"
"2024-05-31","2024May","2.6"
"2024-06-30","2024Jun","2.5"
"2024-07-31","2024Jul","2.6"
"2024-08-31","2024Aug","2.2"
"2024-09-30","2024Sep","1.7"
"2024-10-31","2024Oct","2.0"
"2024-11-30","2024Nov","2.2"
"2024-12-31","2024Dec","2.4"
"2025-01-31","2025Jan","2.5"
"2025-02-28","2025Feb","2.3"
"2025-03-31","2025Mar","2.2"
"2025-04-30","2025Apr","2.2"
"2025-05-31","2025May","1.9"
"2025-06-30","2025Jun","2.0"
"2025-07-31","2025Jul","2.0"
"2025-08-31","2025Aug","2.0"
"2025-09-30","2025Sep","2.2"
"2025-10-31","2025Oct","2.1"
"2025-11-30","2025Nov","2.1"
"2025-12-31","2025Dec","2.0"
"2026-01-31","2026Jan","1.7"
"2026-02-28","2026Feb","1.9"
"2026-03-31","2026Mar","2.6"
"2026-04-30","2026Apr","3.0"
"2026-05-31","2026May","3.2"
"2026-06-30","2026Jun","2.8"
"2026-07-31","2026Jul","2.9"
